ID,totalyearlycompensation,yearsofexperience,yearsatcompany,gender,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Education
FLP00230,126000,4,1,Female,1,0,0,0,0,1,0,0,0,0,Master's Degree
FLP00231,110000,10,3,Female,1,0,0,0,0,0,0,0,0,0,Master's Degree
FLP00232,145000,5,3,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00233,153000,6,2,Male,0,0,1,0,0,0,1,0,0,0,PhD
FLP00234,135000,9,0,Male,1,0,0,0,0,0,1,0,0,0,Master's Degree
FLP00235,230000,12,2,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00236,93000,0,0,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00237,169000,10,2,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00238,134000,6,5,Other,0,1,0,0,0,0,0,0,0,0,Bachelor's Degree
FLP00239,245000,15,7,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00240,246000,8,4,Male,0,1,0,0,0,0,0,0,0,0,Bachelor's Degree
FLP00241,80000,7,4,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00242,121000,11,6,Male,1,0,0,0,0,1,0,0,0,0,Master's Degree
FLP00243,228000,14,7,Male,1,0,0,0,0,0,0,0,0,0,Master's Degree
FLP00244,173000,5,4,Male,1,0,0,0,0,0,1,0,0,0,Master's Degree
FLP00245,155000,8,0,Female,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00246,214000,10,0,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00247,186000,10,0,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00248,217000,9,4,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00249,216000,15,2,Male,1,0,0,0,0,0,1,0,0,0,Master's Degree
FLP00250,109000,5,0,Female,1,0,0,0,0,1,0,0,0,0,Master's Degree
FLP00251,165000,17,2,Male,1,0,0,0,0,0,0,0,0,1,Master's Degree
FLP00252,200000,10,1,Male,1,0,0,0,0,0,0,1,0,0,Master's Degree
FLP00253,107000,2,1,NA,0,1,0,0,0,0,0,0,0,0,Bachelor's Degree
FLP00254,285000,12,1,Male,0,0,1,0,0,0,0,0,0,0,PhD
FLP00255,155000,10,1,Male,0,0,0,1,0,0,1,0,0,0,Highschool
FLP00256,169000,10,1,Male,1,0,0,0,0,0,1,0,0,0,Master's Degree
FLP00257,229000,5,5,Female,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00258,160000,12,0,Female,1,0,0,0,0,0,0,0,0,0,Master's Degree
FLP00259,348000,14,0,Male,1,0,0,0,0,1,0,0,0,0,Master's Degree
FLP00260,195000,12,6,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00261,235000,19,11,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00262,70000,2,2,Male,1,0,0,0,0,1,0,0,0,0,Master's Degree
FLP00263,130000,4,0,Male,1,0,0,0,0,1,0,0,0,0,Master's Degree
FLP00264,310000,30,0,Male,1,0,0,0,0,0,0,0,0,0,Master's Degree
FLP00265,153000,4,2,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00266,104000,2,0,Female,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00267,117000,1,1,Male,1,0,0,0,0,0,1,0,0,0,Master's Degree
FLP00268,340000,23,20,Male,1,0,0,0,0,0,0,0,0,0,Master's Degree
FLP00269,410000,11,1,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00270,150000,4,0,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00271,176000,6,1,Male,1,0,0,0,0,0,0,0,0,0,Master's Degree
FLP00272,175000,13,2,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00273,210000,9,9,NA,1,0,0,0,0,0,0,0,0,0,Master's Degree
FLP00274,105000,0,0,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00275,156000,10,10,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00276,166000,13,0,Female,1,0,0,0,0,0,0,0,0,0,Master's Degree
FLP00277,96000,3,2,Male,1,0,0,0,0,0,0,0,0,0,Master's Degree
FLP00278,186000,19,10,NA,1,0,0,0,0,0,0,0,0,0,Master's Degree
FLP00279,121000,7,2,Male,1,0,0,0,0,0,0,0,0,0,Master's Degree
FLP00280,188000,12,6,Male,0,0,1,0,0,0,0,0,0,0,PhD
FLP00281,135000,19,1,Male,1,0,0,0,0,0,0,0,0,0,Master's Degree
FLP00282,99000,2,2,Female,1,0,0,0,0,0,0,0,0,0,Master's Degree
FLP00283,81000,3,0.5,Male,1,0,0,0,0,0,0,0,0,0,Master's Degree
FLP00284,180000,10,2,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00285,170000,5,1,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00286,112000,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00287,52000,4,4,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00288,56000,4,2,Male,0,0,1,0,0,0,0,0,0,0,PhD
FLP00289,17000,2,2,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00290,155000,3,3,Male,0,0,1,0,0,0,1,0,0,0,PhD
